zonei,areakey,lat,lon,osgb36_east,osgb36_north,area
7193,W02000416,51.810623,-3.6400473,286948.16,213688.6,167484080
7194,W02000417,51.779446,-3.8342876,273472.53,210541.06,32723034
7195,W02000418,51.82284,-4.539615,224994.3,216825.61,315146660
7196,W02000419,53.316273,-3.4642093,302466.8,380881.38,2716707
7197,W02000420,53.079174,-2.935094,337366.16,353916.38,79191950
7198,W02000421,52.30109,-3.880738,271770.5,268629.7,769442750
7199,W02000422,51.45801,-3.1611617,319334.3,173843.58,4984128.5
7200,W02000423,51.469345,-3.1715991,318629.4,175115.2,1825759.5
7201,S02000001,57.09876,-2.086272,394773.47,800776.8,952193.8
7202,S02000002,57.104656,-2.1021998,393809.5,801434.5,6005769.5
7203,S02000003,57.109264,-2.3028896,381655.56,801983.25,19724106
7204,S02000004,57.11661,-2.1806448,389061.44,802774.9,5525075
7205,S02000005,57.118553,-2.0744789,395490.34,802979.1,6738951
7206,S02000006,57.122013,-2.1097739,393353.84,803366.8,1205903.4
7207,S02000007,57.12258,-2.2391505,385521.1,803450.2,19650414
7208,S02000008,57.123,-2.1320336,392006.34,803479.44,1418081.4
7209,S02000009,57.128662,-2.141474,391436.12,804110.7,1135500.4
7210,S02000010,57.13239,-2.107403,393499.2,804521.8,1089928.8
7211,S02000011,57.133755,-2.1221182,392608.8,804675.44,832431.1
7212,S02000012,57.134827,-2.0859423,394798.5,804791.2,995141.06
7213,S02000013,57.135017,-2.1484075,391017.94,804819.06,1411347
7214,S02000014,57.13693,-2.182892,388931.44,805036.7,8797169
7215,S02000015,57.137135,-2.064249,396111.7,805046.7,1875250.6
7216,S02000016,57.13861,-2.1039643,393708.4,805213.9,552673.56
7217,S02000017,57.139084,-2.1264703,392346.5,805269.06,921425.6
7218,S02000018,57.144753,-2.098187,394059,805897,1592199.9
7219,S02000019,57.14477,-2.131077,392068.94,805902.4,1170180.1
7220,S02000020,57.149208,-2.1603708,390297.62,806400.2,1151908.9
7221,S02000021,57.149876,-2.1151748,393032.1,806469.1,545443.1
7222,S02000022,57.15228,-2.0839465,394921.7,806733.9,1762945.6
7223,S02000023,57.15255,-2.1331167,391947.22,806768.4,1563137
7224,S02000024,57.15372,-2.1021512,393820.66,806895.5,705696.56
7225,S02000025,57.155865,-2.1578043,390454.62,807140.5,917019.44
7226,S02000026,57.157635,-2.117157,392913.66,807332.7,869104.7
7227,S02000027,57.15777,-2.1743932,389451.7,807355.1,1397799.4
7228,S02000028,57.15987,-2.13723,391700.03,807583.94,883073.06
7229,S02000029,57.16225,-2.1042287,393696.4,807845.3,972999.94
7230,S02000030,57.16364,-2.1483862,391026.16,808004.6,843216.4
7231,S02000031,57.166267,-2.1617184,390220.6,808299.4,895690.25
7232,S02000032,57.166466,-2.086059,394795.88,808312.94,1833211.2
7233,S02000033,57.16696,-2.1275706,392285.72,808372.2,1156674.4
7234,S02000034,57.170853,-2.1516404,390831.16,808808.3,876056.5
7235,S02000035,57.17126,-2.229625,386116.03,808866.75,26998324
7236,S02000036,57.17168,-2.1151114,393040,808896.2,708103.94
7237,S02000037,57.173153,-2.0993247,393994.78,809058.56,1251504.1
7238,S02000038,57.1737,-2.133412,391933.97,809122.8,988370.3
7239,S02000039,57.17654,-2.1684885,389814,809443.8,1167578.2
7240,S02000040,57.18058,-2.1323485,391999.72,809888.5,1279061.6
7241,S02000041,57.181633,-2.1103103,393332.1,810003.4,1552953.9
7242,S02000042,57.185276,-2.0928338,394389.06,810407.2,1744436
7243,S02000043,57.189922,-2.1822689,388984.9,810935.44,3307842.8
7244,S02000044,57.191475,-2.1167543,392944.44,811099.7,1119037.2
7245,S02000045,57.197773,-2.1476624,391078.2,811804,10588243
7246,S02000046,57.206734,-2.094175,394311.28,812795.8,13015082
7247,S02000047,57.21137,-2.2289057,386174.5,813331.1,24138990
7248,S02000048,56.80407,-2.489731,370096.25,768079.75,100961120
7249,S02000049,56.85305,-2.5160127,368532.56,773543.1,125543350
7250,S02000050,56.894806,-2.4028285,375462.06,778144.2,153007870
7251,S02000051,56.96395,-2.216271,386850.38,785789.25,1214986
7252,S02000052,56.97113,-2.2247264,386338.88,786590,2248519.2
7253,S02000053,56.973774,-2.2819843,382859.4,786897.06,218323010
7254,S02000054,57.00981,-2.7177982,356410.72,791101.94,462198370
7255,S02000055,57.033688,-2.149572,390922.75,793540.2,744696.5
7256,S02000056,57.046562,-3.321374,319838.9,795739.2,1.2701728E+09
7257,S02000057,57.056793,-2.4866529,370484.4,796207.56,3522424.2
7258,S02000058,57.05851,-2.1401978,391497.34,796302,1944691.4
7259,S02000059,57.084354,-2.132158,391990.5,799177.75,23909758
7260,S02000060,57.098473,-2.5585928,366159.28,800879.94,141432030
7261,S02000061,57.102173,-2.4005234,375737.78,801224.5,246366820
7262,S02000062,57.151062,-2.3504837,378796.94,806649.44,9868405
7263,S02000063,57.153614,-2.2819588,382943.62,806914.25,1873899.8
7264,S02000064,57.156845,-2.3050334,381549.4,807279.9,23469950
7265,S02000065,57.18961,-2.873314,347223.2,811223.9,425717470
7266,S02000066,57.23458,-2.3353853,379756.1,815941.56,74443510
7267,S02000067,57.237297,-2.4426196,373285.4,816280.5,1477211.8
7268,S02000068,57.240974,-2.5995479,363817.62,816762.4,190293740
7269,S02000069,57.25044,-2.1090608,393419.88,817661.75,48730568
7270,S02000070,57.2562,-2.211109,387264.88,818317.5,45480704
7271,S02000071,57.28074,-2.373181,377502.88,821091,2131868
7272,S02000072,57.290394,-2.3910568,376431.44,822171.75,1832659.1
7273,S02000073,57.29566,-2.4413548,373403.84,822776.3,133987710
7274,S02000074,57.341408,-2.3349738,379839.4,827832.2,69787990
7275,S02000075,57.359074,-2.1994503,388001.72,829766.6,142571940
7276,S02000076,57.365,-2.0678802,395917.22,830411.1,1879479.2
7277,S02000077,57.369408,-2.0864682,394799.8,830902.5,1746957.4
7278,S02000078,57.377476,-2.0239387,398560.66,831797.56,200380350
7279,S02000079,57.38652,-2.586269,364758.53,832956.2,145937070
7280,S02000080,57.39743,-2.8146653,351044.16,834311.9,457618020
7281,S02000081,57.42503,-2.371386,377698.75,837151.9,152548980
7282,S02000082,57.434097,-1.8806776,407163.4,838106.7,64448968
7283,S02000083,57.447746,-2.7867038,352789.22,839892.7,1913792.9
7284,S02000084,57.468307,-2.1225646,392648.84,841914.9,135272800
7285,S02000085,57.49444,-1.7969383,412170.53,844835.1,1939869.1
7286,S02000086,57.504967,-1.7966783,412182.6,846007.1,719380.94
7287,S02000087,57.507652,-2.5249414,368549.1,846409.44,205999380
7288,S02000088,57.509327,-1.783059,412997.1,846495.1,1839302.8
7289,S02000089,57.51316,-1.8074832,411532.62,846917.56,1327889.5
7290,S02000090,57.524017,-2.0066118,399604.03,848109.6,1590424.8
7291,S02000091,57.540146,-2.4581494,372575.16,849997.44,2086562.4
7292,S02000092,57.54704,-1.9018984,405871.28,850676.75,186857090
7293,S02000093,57.554,-2.121789,392712.44,851453.9,149442900
7294,S02000094,57.588505,-2.252858,384883.9,855316.5,170095980
7295,S02000095,57.600536,-2.5990005,364203.25,856785.6,124310664
7296,S02000096,57.624012,-2.3970282,376288.47,859310.3,157119090
7297,S02000097,57.631832,-2.7146196,357330.6,860335.94,115257336
7298,S02000098,57.654335,-2.028354,398308.03,862616.6,107838624
