msoa,2019
E02005921,2180.87
E02005922,1399.92
E02005923,6054.05
E02005924,19610.08
E02005925,938.44
E02005926,3914.97
E02005927,3148.25
E02005928,4372.22
E02005929,2515.36
E02005930,3657.62
E02005931,3881.93
E02005932,1260
E02005933,7213.97
E02005934,1863.33
E02005935,8284.59
E02005936,5273.32
E02005937,2164.24
E02005938,1042.56
E02005939,8553.31
E02005940,2081
E02005941,3545.06
E02005942,2716.36
E02005943,993.17
E02005944,1045.64
E02005945,13378.26
E02005946,2006.8
E02005947,24687.86
E02005948,7770.42
E02005949,5394.4
E02005950,5682.14
E02005951,1061.89
E02005952,14615.39
E02005953,1202.24
E02005954,7612.88
E02005955,6138.65
E02005956,2786.89
E02005957,1183.14
E02005958,4381.03
E02005959,2306.6
E02005960,5082.91
E02005961,4023.44
E02005962,2904
E02005963,4472.85
E02005964,2780.99
E02005965,2510.04
E02005966,3892.69
E02005967,5225.8
E02005968,5439.83
E02005969,5960.76
E02005970,1304.41
E02005971,1086.99
E02005972,2547.93
E02005973,5207.23
E02005974,3923.06
E02005975,3575.05
E02005976,3157.7
E02005977,1994.03
E02005978,2587.51
E02005979,4738.58
E02005980,4859.5
E02005981,1304.61
E02005982,2664.24
E02005983,12545.66
E02005984,3558.86
E02005985,1994.35
E02005986,3459.51
E02005987,7457.46
E02005988,2074.35
E02005991,4244.44
E02005992,11865.28
E02005993,3886.09
E02005994,3383.54
E02005995,2671.32
E02005996,3691.91
E02005997,2075.71
E02005998,3008.97
E02005999,3944.98
E02006000,2923.81
E02006001,3216.28
E02006002,11106.07
E02006003,4276.88
E02006004,3667.31
E02006005,1728.61
E02006006,5021.03
E02006007,2293.16
E02006886,7488.7
